Namespace(alpha=0.6, batch_size=32, beta_init=0.4, buffer_capacity=10000, clip_grad=False, device='cuda', envname='LunarLander-v2', epsilon_decay=0.9, epsilon_init=1, epsilon_min=0.01, epsilon_range=None, eval_episode=5, eval_period=1000, gamma=0.99, lr=0.001, max_episode_len=1000, model_dir='models/', n_iterations=300000, n_steps=1, natoms=51, no_dist=False, no_double=True, no_dueling=True, no_noisy=True, no_prioritized=True, noisy_std=0.5, save_model=False, start_update=100, target_update_period=100, vmax=100, vmin=-100, write_period=100)
Iteration:       0, Train reward:    4.251, Eval reward: -551.856, TD loss:  -9.271, Epsiode:    0, Epsilon:     1.0
Iteration:    1300, Train reward: -163.048, Eval reward: -133.864, TD loss: 174.793, Epsiode:    9, Epsilon:   0.387
Iteration:    1400, Train reward: -175.321, Eval reward: -127.599, TD loss: 167.908, Epsiode:    9, Epsilon:   0.387
Iteration:    1500, Train reward: -170.774, Eval reward: -134.257, TD loss: 173.257, Epsiode:   10, Epsilon:   0.349
Iteration:    1600, Train reward: -146.309, Eval reward: -136.268, TD loss: 156.448, Epsiode:   10, Epsilon:   0.349
Iteration:    1700, Train reward:  -138.24, Eval reward: -133.962, TD loss: 138.683, Epsiode:   10, Epsilon:   0.349
Iteration:    1800, Train reward: -141.608, Eval reward:  -137.44, TD loss: 150.116, Epsiode:   11, Epsilon:   0.314
Iteration:    1900, Train reward: -145.213, Eval reward: -143.104, TD loss:  158.15, Epsiode:   11, Epsilon:   0.314
Iteration:    2000, Train reward: -143.072, Eval reward: -121.106, TD loss: 141.018, Epsiode:   11, Epsilon:   0.314
Iteration:    2100, Train reward: -151.042, Eval reward: -102.146, TD loss: 157.973, Epsiode:   12, Epsilon:   0.282
Iteration:    2200, Train reward:  -136.37, Eval reward: -123.339, TD loss: 140.531, Epsiode:   12, Epsilon:   0.282
Iteration:    2300, Train reward: -140.521, Eval reward: -106.142, TD loss: 150.511, Epsiode:   12, Epsilon:   0.282
Iteration:    2400, Train reward: -149.257, Eval reward:  -97.001, TD loss: 147.553, Epsiode:   12, Epsilon:   0.282
Iteration:    2500, Train reward: -130.408, Eval reward:  -92.052, TD loss: 153.506, Epsiode:   12, Epsilon:   0.282
Iteration:    2600, Train reward: -162.534, Eval reward: -106.145, TD loss: 141.914, Epsiode:   13, Epsilon:   0.254
Iteration:    2700, Train reward:  -142.05, Eval reward: -116.742, TD loss: 153.118, Epsiode:   13, Epsilon:   0.254
Iteration:    2800, Train reward: -145.757, Eval reward:  -93.576, TD loss:  139.11, Epsiode:   13, Epsilon:   0.254
Iteration:    2900, Train reward: -130.704, Eval reward: -106.981, TD loss: 162.225, Epsiode:   13, Epsilon:   0.254
Iteration:    3000, Train reward: -144.874, Eval reward: -270.335, TD loss: 142.821, Epsiode:   13, Epsilon:   0.254
Iteration:    3100, Train reward: -136.521, Eval reward: -261.886, TD loss: 144.107, Epsiode:   13, Epsilon:   0.254
Iteration:    3200, Train reward: -150.393, Eval reward: -245.641, TD loss: 152.837, Epsiode:   13, Epsilon:   0.254
Iteration:    3300, Train reward: -147.456, Eval reward: -272.178, TD loss: 154.644, Epsiode:   13, Epsilon:   0.254
Iteration:    3400, Train reward: -129.908, Eval reward: -274.771, TD loss: 154.167, Epsiode:   13, Epsilon:   0.254
Iteration:    3500, Train reward:  -150.28, Eval reward: -252.481, TD loss: 138.961, Epsiode:   13, Epsilon:   0.254
Iteration:    3600, Train reward: -137.692, Eval reward: -251.585, TD loss: 155.166, Epsiode:   14, Epsilon:   0.229
Iteration:    3700, Train reward:  -163.71, Eval reward: -256.514, TD loss: 159.249, Epsiode:   14, Epsilon:   0.229
Iteration:    3800, Train reward:  -137.57, Eval reward: -267.056, TD loss: 143.302, Epsiode:   14, Epsilon:   0.229
Iteration:    3900, Train reward: -141.989, Eval reward: -243.154, TD loss: 159.359, Epsiode:   14, Epsilon:   0.229
Iteration:    4000, Train reward: -157.757, Eval reward: -127.983, TD loss: 153.977, Epsiode:   14, Epsilon:   0.229
Iteration:    4100, Train reward: -141.456, Eval reward:  -98.584, TD loss:  136.36, Epsiode:   14, Epsilon:   0.229
Iteration:    4200, Train reward: -159.275, Eval reward: -113.518, TD loss: 141.623, Epsiode:   14, Epsilon:   0.229
Iteration:    4300, Train reward: -137.748, Eval reward: -106.146, TD loss: 156.166, Epsiode:   14, Epsilon:   0.229
Iteration:    4400, Train reward: -151.453, Eval reward: -113.139, TD loss: 144.261, Epsiode:   14, Epsilon:   0.229
Iteration:    4500, Train reward: -148.331, Eval reward: -104.933, TD loss: 146.986, Epsiode:   14, Epsilon:   0.229
Iteration:    4600, Train reward:  -134.23, Eval reward: -114.042, TD loss: 132.905, Epsiode:   15, Epsilon:   0.206
Iteration:    4700, Train reward: -151.169, Eval reward: -112.185, TD loss: 154.208, Epsiode:   15, Epsilon:   0.206
Iteration:    4800, Train reward: -138.832, Eval reward: -109.062, TD loss: 154.614, Epsiode:   15, Epsilon:   0.206
Iteration:    4900, Train reward: -137.329, Eval reward: -120.794, TD loss: 146.551, Epsiode:   15, Epsilon:   0.206
Iteration:    5000, Train reward: -137.618, Eval reward: -127.461, TD loss: 164.979, Epsiode:   15, Epsilon:   0.206
Iteration:    5100, Train reward: -128.371, Eval reward: -125.249, TD loss: 150.956, Epsiode:   15, Epsilon:   0.206
Iteration:    5200, Train reward:  -131.22, Eval reward: -131.591, TD loss: 144.975, Epsiode:   15, Epsilon:   0.206
Iteration:    5300, Train reward: -168.252, Eval reward: -141.953, TD loss: 147.622, Epsiode:   15, Epsilon:   0.206
Iteration:    5400, Train reward: -140.286, Eval reward: -126.628, TD loss: 135.173, Epsiode:   15, Epsilon:   0.206
Iteration:    5500, Train reward: -145.025, Eval reward: -125.924, TD loss: 154.627, Epsiode:   15, Epsilon:   0.206
Iteration:    5600, Train reward: -126.053, Eval reward: -140.058, TD loss: 136.888, Epsiode:   16, Epsilon:   0.185
Iteration:    5700, Train reward: -140.721, Eval reward: -131.285, TD loss: 152.467, Epsiode:   16, Epsilon:   0.185
Iteration:    5800, Train reward: -140.815, Eval reward: -134.308, TD loss: 138.705, Epsiode:   17, Epsilon:   0.167
Iteration:    5900, Train reward: -119.954, Eval reward: -117.333, TD loss: 152.106, Epsiode:   17, Epsilon:   0.167
Iteration:    6000, Train reward: -134.374, Eval reward:  -89.517, TD loss: 152.712, Epsiode:   17, Epsilon:   0.167
Iteration:    6100, Train reward: -126.831, Eval reward: -100.416, TD loss: 150.598, Epsiode:   17, Epsilon:   0.167
Iteration:    6200, Train reward: -148.471, Eval reward:  -83.972, TD loss: 165.594, Epsiode:   17, Epsilon:   0.167
Iteration:    6300, Train reward: -138.287, Eval reward:  -73.324, TD loss: 170.081, Epsiode:   17, Epsilon:   0.167
Iteration:    6400, Train reward: -136.198, Eval reward:  -85.058, TD loss: 152.997, Epsiode:   17, Epsilon:   0.167
Iteration:    6500, Train reward: -148.216, Eval reward:  -82.717, TD loss: 149.232, Epsiode:   17, Epsilon:   0.167
Iteration:    6600, Train reward: -138.962, Eval reward:  -75.232, TD loss: 149.545, Epsiode:   17, Epsilon:   0.167
Iteration:    6700, Train reward: -131.883, Eval reward:  -72.571, TD loss: 142.688, Epsiode:   17, Epsilon:   0.167
Iteration:    6800, Train reward: -127.165, Eval reward:  -86.258, TD loss: 144.422, Epsiode:   18, Epsilon:    0.15
Iteration:    6900, Train reward: -139.705, Eval reward:  -84.823, TD loss: 146.833, Epsiode:   18, Epsilon:    0.15
Iteration:    7000, Train reward: -136.828, Eval reward:  -70.216, TD loss: 173.891, Epsiode:   18, Epsilon:    0.15
Iteration:    7100, Train reward: -124.418, Eval reward:  -45.066, TD loss:   147.2, Epsiode:   18, Epsilon:    0.15
Iteration:    7200, Train reward:  -130.55, Eval reward:  -66.112, TD loss: 151.462, Epsiode:   18, Epsilon:    0.15
Iteration:    7300, Train reward: -144.795, Eval reward:  -66.102, TD loss: 135.699, Epsiode:   18, Epsilon:    0.15
Iteration:    7400, Train reward: -120.914, Eval reward:  -66.959, TD loss: 136.646, Epsiode:   18, Epsilon:    0.15
Iteration:    7500, Train reward: -121.591, Eval reward:  -79.481, TD loss: 154.089, Epsiode:   18, Epsilon:    0.15
Iteration:    7600, Train reward: -137.342, Eval reward:  -65.076, TD loss: 143.932, Epsiode:   18, Epsilon:    0.15
Iteration:    7700, Train reward: -132.102, Eval reward:  -64.287, TD loss: 144.937, Epsiode:   18, Epsilon:    0.15
Iteration:    7800, Train reward:  -131.87, Eval reward:  -75.641, TD loss:  157.43, Epsiode:   19, Epsilon:   0.135
Iteration:    7900, Train reward: -126.435, Eval reward:  -63.818, TD loss: 157.499, Epsiode:   19, Epsilon:   0.135
Iteration:    8000, Train reward: -141.001, Eval reward: -118.409, TD loss: 148.527, Epsiode:   19, Epsilon:   0.135
Iteration:    8100, Train reward: -123.841, Eval reward: -123.227, TD loss: 144.293, Epsiode:   19, Epsilon:   0.135
Iteration:    8200, Train reward: -131.458, Eval reward:  -97.131, TD loss: 153.003, Epsiode:   19, Epsilon:   0.135
Iteration:    8300, Train reward: -143.144, Eval reward: -132.862, TD loss: 158.836, Epsiode:   19, Epsilon:   0.135
Iteration:    8400, Train reward: -143.448, Eval reward:   -99.89, TD loss: 137.414, Epsiode:   19, Epsilon:   0.135
Iteration:    8500, Train reward: -114.345, Eval reward: -129.346, TD loss: 143.586, Epsiode:   19, Epsilon:   0.135
Iteration:    8600, Train reward: -133.353, Eval reward: -140.585, TD loss: 155.592, Epsiode:   19, Epsilon:   0.135
Iteration:    8700, Train reward: -112.809, Eval reward: -101.721, TD loss: 158.396, Epsiode:   19, Epsilon:   0.135
Iteration:    8800, Train reward: -156.546, Eval reward: -117.571, TD loss: 145.833, Epsiode:   20, Epsilon:   0.122
Iteration:    8900, Train reward: -137.837, Eval reward: -111.077, TD loss: 164.599, Epsiode:   20, Epsilon:   0.122
Iteration:    9000, Train reward: -122.511, Eval reward: -141.263, TD loss: 151.032, Epsiode:   20, Epsilon:   0.122
Iteration:    9100, Train reward: -122.725, Eval reward: -136.381, TD loss: 153.784, Epsiode:   20, Epsilon:   0.122
Iteration:    9200, Train reward: -125.557, Eval reward: -148.014, TD loss: 155.096, Epsiode:   20, Epsilon:   0.122
Iteration:    9300, Train reward: -154.321, Eval reward: -151.617, TD loss: 132.541, Epsiode:   20, Epsilon:   0.122
Iteration:    9400, Train reward: -142.144, Eval reward: -150.221, TD loss: 157.476, Epsiode:   20, Epsilon:   0.122
Iteration:    9500, Train reward: -145.816, Eval reward: -150.464, TD loss: 145.193, Epsiode:   20, Epsilon:   0.122
Iteration:    9600, Train reward: -132.485, Eval reward: -138.416, TD loss: 142.366, Epsiode:   20, Epsilon:   0.122
Iteration:    9700, Train reward: -143.958, Eval reward: -157.445, TD loss: 126.341, Epsiode:   20, Epsilon:   0.122
Iteration:    9800, Train reward: -135.485, Eval reward: -141.055, TD loss: 156.312, Epsiode:   21, Epsilon:   0.109
Iteration:    9900, Train reward: -116.351, Eval reward:  -145.04, TD loss: 142.635, Epsiode:   21, Epsilon:   0.109
Iteration:   10000, Train reward: -127.119, Eval reward:  -72.578, TD loss: 119.865, Epsiode:   21, Epsilon:   0.109
Iteration:   10100, Train reward: -112.186, Eval reward:  -74.897, TD loss: 134.789, Epsiode:   21, Epsilon:   0.109
Iteration:   10200, Train reward: -131.125, Eval reward:  -60.199, TD loss: 149.354, Epsiode:   21, Epsilon:   0.109
Iteration:   10300, Train reward: -133.525, Eval reward:  -86.237, TD loss: 171.192, Epsiode:   21, Epsilon:   0.109
Iteration:   10400, Train reward: -139.041, Eval reward:   -67.93, TD loss:   143.6, Epsiode:   21, Epsilon:   0.109
Iteration:   10500, Train reward: -145.917, Eval reward:   -82.48, TD loss: 137.178, Epsiode:   21, Epsilon:   0.109
Iteration:   10600, Train reward: -116.034, Eval reward:  -86.014, TD loss: 140.978, Epsiode:   21, Epsilon:   0.109
Iteration:   10700, Train reward: -125.629, Eval reward:  -66.039, TD loss: 132.006, Epsiode:   21, Epsilon:   0.109
Iteration:   10800, Train reward:   -93.68, Eval reward:  -74.047, TD loss: 149.253, Epsiode:   22, Epsilon:   0.098
Iteration:   10900, Train reward: -104.802, Eval reward:  -64.212, TD loss: 135.146, Epsiode:   22, Epsilon:   0.098
Iteration:   11000, Train reward: -101.968, Eval reward:  -96.466, TD loss: 140.601, Epsiode:   22, Epsilon:   0.098
Iteration:   11100, Train reward: -109.071, Eval reward:  -90.472, TD loss: 145.501, Epsiode:   22, Epsilon:   0.098
Iteration:   11200, Train reward: -128.707, Eval reward: -117.471, TD loss: 150.939, Epsiode:   22, Epsilon:   0.098
Iteration:   11300, Train reward: -122.069, Eval reward: -113.182, TD loss: 135.794, Epsiode:   22, Epsilon:   0.098
Iteration:   11400, Train reward: -123.239, Eval reward: -102.889, TD loss: 142.808, Epsiode:   22, Epsilon:   0.098
Iteration:   11500, Train reward: -124.894, Eval reward: -119.254, TD loss: 132.913, Epsiode:   22, Epsilon:   0.098
Iteration:   11600, Train reward: -121.721, Eval reward:  -118.35, TD loss: 136.215, Epsiode:   22, Epsilon:   0.098
Iteration:   11700, Train reward: -119.584, Eval reward: -107.497, TD loss:  174.63, Epsiode:   22, Epsilon:   0.098
Iteration:   11800, Train reward: -115.733, Eval reward: -114.567, TD loss: 133.022, Epsiode:   23, Epsilon:   0.089
Iteration:   11900, Train reward: -103.914, Eval reward: -112.928, TD loss: 141.757, Epsiode:   23, Epsilon:   0.089
Iteration:   12000, Train reward: -104.228, Eval reward: -209.211, TD loss:  150.69, Epsiode:   23, Epsilon:   0.089
Iteration:   12100, Train reward: -116.839, Eval reward: -196.646, TD loss:  139.62, Epsiode:   23, Epsilon:   0.089
Iteration:   12200, Train reward: -105.323, Eval reward: -219.051, TD loss: 130.883, Epsiode:   23, Epsilon:   0.089
Iteration:   12300, Train reward: -111.338, Eval reward: -196.706, TD loss: 129.175, Epsiode:   23, Epsilon:   0.089
Iteration:   12400, Train reward:  -96.994, Eval reward: -185.144, TD loss:  147.99, Epsiode:   23, Epsilon:   0.089
Iteration:   12500, Train reward: -104.054, Eval reward: -200.699, TD loss: 170.601, Epsiode:   23, Epsilon:   0.089
Iteration:   12600, Train reward: -112.842, Eval reward:  -203.25, TD loss: 141.798, Epsiode:   23, Epsilon:   0.089
Iteration:   12700, Train reward: -121.686, Eval reward: -210.061, TD loss: 128.792, Epsiode:   23, Epsilon:   0.089
Iteration:   12800, Train reward: -108.139, Eval reward: -212.971, TD loss: 133.762, Epsiode:   24, Epsilon:    0.08
Iteration:   12900, Train reward: -112.071, Eval reward: -201.094, TD loss:  133.16, Epsiode:   24, Epsilon:    0.08
Iteration:   13000, Train reward:  -97.693, Eval reward: -125.016, TD loss: 141.103, Epsiode:   24, Epsilon:    0.08
Iteration:   13100, Train reward: -109.121, Eval reward: -113.602, TD loss: 146.156, Epsiode:   24, Epsilon:    0.08
Iteration:   13200, Train reward: -121.832, Eval reward: -122.329, TD loss:   155.9, Epsiode:   24, Epsilon:    0.08
Iteration:   13300, Train reward: -122.411, Eval reward: -115.766, TD loss:  130.68, Epsiode:   24, Epsilon:    0.08
Iteration:   13400, Train reward: -106.075, Eval reward: -130.733, TD loss: 128.203, Epsiode:   24, Epsilon:    0.08
Iteration:   13500, Train reward:  -115.42, Eval reward: -141.043, TD loss: 150.122, Epsiode:   24, Epsilon:    0.08
Iteration:   13600, Train reward: -114.344, Eval reward: -124.333, TD loss: 148.646, Epsiode:   24, Epsilon:    0.08
Iteration:   13700, Train reward: -112.147, Eval reward: -136.785, TD loss: 139.797, Epsiode:   24, Epsilon:    0.08
Iteration:   13800, Train reward: -100.953, Eval reward: -122.061, TD loss: 151.028, Epsiode:   25, Epsilon:   0.072
Iteration:   13900, Train reward: -122.915, Eval reward: -145.283, TD loss: 129.951, Epsiode:   25, Epsilon:   0.072
Iteration:   14000, Train reward: -121.408, Eval reward: -163.686, TD loss: 122.519, Epsiode:   25, Epsilon:   0.072
Iteration:   14100, Train reward: -122.254, Eval reward: -154.049, TD loss: 109.714, Epsiode:   25, Epsilon:   0.072
Iteration:   14200, Train reward: -120.802, Eval reward: -181.302, TD loss: 142.491, Epsiode:   25, Epsilon:   0.072
Iteration:   14300, Train reward:  -97.335, Eval reward: -158.862, TD loss: 136.188, Epsiode:   25, Epsilon:   0.072
Iteration:   14400, Train reward:  -99.851, Eval reward: -161.219, TD loss: 142.678, Epsiode:   25, Epsilon:   0.072
Iteration:   14500, Train reward: -106.391, Eval reward: -168.245, TD loss: 129.105, Epsiode:   25, Epsilon:   0.072
Iteration:   14600, Train reward: -111.242, Eval reward: -157.135, TD loss: 137.415, Epsiode:   25, Epsilon:   0.072
Iteration:   14700, Train reward:  -115.14, Eval reward: -158.023, TD loss:  142.08, Epsiode:   25, Epsilon:   0.072
Iteration:   14800, Train reward: -103.903, Eval reward:  -153.01, TD loss: 147.803, Epsiode:   26, Epsilon:   0.065
Iteration:   14900, Train reward: -101.329, Eval reward: -169.682, TD loss: 140.556, Epsiode:   26, Epsilon:   0.065
Iteration:   15000, Train reward: -110.408, Eval reward: -141.711, TD loss:  124.07, Epsiode:   26, Epsilon:   0.065
Iteration:   15100, Train reward: -111.366, Eval reward: -147.575, TD loss: 132.985, Epsiode:   26, Epsilon:   0.065
Iteration:   15200, Train reward: -114.645, Eval reward: -148.751, TD loss: 157.088, Epsiode:   26, Epsilon:   0.065
Iteration:   15300, Train reward: -122.787, Eval reward: -168.616, TD loss: 131.459, Epsiode:   26, Epsilon:   0.065
Iteration:   15400, Train reward: -120.565, Eval reward: -159.403, TD loss: 124.465, Epsiode:   26, Epsilon:   0.065
Iteration:   15500, Train reward: -110.791, Eval reward: -149.575, TD loss: 120.881, Epsiode:   26, Epsilon:   0.065
Iteration:   15600, Train reward: -103.971, Eval reward: -139.087, TD loss: 135.342, Epsiode:   26, Epsilon:   0.065
Iteration:   15700, Train reward: -103.447, Eval reward: -149.577, TD loss:  124.46, Epsiode:   26, Epsilon:   0.065
Iteration:   15800, Train reward: -110.618, Eval reward: -150.391, TD loss:  132.85, Epsiode:   27, Epsilon:   0.058
Iteration:   15900, Train reward: -133.248, Eval reward: -150.028, TD loss: 128.488, Epsiode:   27, Epsilon:   0.058
Iteration:   16000, Train reward: -106.657, Eval reward: -181.946, TD loss: 137.738, Epsiode:   27, Epsilon:   0.058
Iteration:   16100, Train reward: -111.404, Eval reward:  -187.04, TD loss: 130.736, Epsiode:   27, Epsilon:   0.058
Iteration:   16200, Train reward: -115.592, Eval reward: -180.279, TD loss: 141.747, Epsiode:   27, Epsilon:   0.058
Iteration:   16300, Train reward: -107.623, Eval reward: -168.416, TD loss: 144.234, Epsiode:   27, Epsilon:   0.058
Iteration:   16400, Train reward:  -109.13, Eval reward: -171.737, TD loss: 121.958, Epsiode:   27, Epsilon:   0.058
Iteration:   16500, Train reward:  -96.543, Eval reward: -176.775, TD loss: 120.318, Epsiode:   27, Epsilon:   0.058
Iteration:   16600, Train reward:  -87.347, Eval reward:  -187.99, TD loss:  133.31, Epsiode:   27, Epsilon:   0.058
Iteration:   16700, Train reward: -109.231, Eval reward: -186.915, TD loss: 134.183, Epsiode:   27, Epsilon:   0.058
Iteration:   16800, Train reward: -101.989, Eval reward: -178.717, TD loss: 126.172, Epsiode:   28, Epsilon:   0.052
Iteration:   16900, Train reward: -123.442, Eval reward: -177.918, TD loss: 141.231, Epsiode:   28, Epsilon:   0.052
Iteration:   17000, Train reward: -127.149, Eval reward: -111.931, TD loss: 143.425, Epsiode:   28, Epsilon:   0.052
Iteration:   17100, Train reward: -106.734, Eval reward: -128.405, TD loss: 141.399, Epsiode:   28, Epsilon:   0.052
Iteration:   17200, Train reward: -106.458, Eval reward: -122.126, TD loss: 121.933, Epsiode:   28, Epsilon:   0.052
Iteration:   17300, Train reward:  -90.166, Eval reward: -131.888, TD loss: 141.787, Epsiode:   28, Epsilon:   0.052
Iteration:   17400, Train reward:  -98.972, Eval reward:  -106.03, TD loss: 135.318, Epsiode:   28, Epsilon:   0.052
Iteration:   17500, Train reward:  -92.731, Eval reward: -132.834, TD loss: 138.696, Epsiode:   28, Epsilon:   0.052
Iteration:   17600, Train reward: -109.847, Eval reward: -134.029, TD loss: 128.575, Epsiode:   28, Epsilon:   0.052
Iteration:   17700, Train reward: -100.706, Eval reward: -114.171, TD loss: 126.129, Epsiode:   28, Epsilon:   0.052
Iteration:   17800, Train reward:  -99.667, Eval reward: -126.585, TD loss: 126.148, Epsiode:   29, Epsilon:   0.047
Iteration:   17900, Train reward: -118.468, Eval reward: -113.275, TD loss: 142.394, Epsiode:   29, Epsilon:   0.047
Iteration:   18000, Train reward: -117.921, Eval reward: -125.433, TD loss: 138.429, Epsiode:   29, Epsilon:   0.047
Iteration:   18100, Train reward:  -94.168, Eval reward: -115.513, TD loss: 127.323, Epsiode:   29, Epsilon:   0.047
Iteration:   18200, Train reward: -111.362, Eval reward: -122.472, TD loss: 134.659, Epsiode:   29, Epsilon:   0.047
Iteration:   18300, Train reward: -109.168, Eval reward: -129.899, TD loss: 125.004, Epsiode:   29, Epsilon:   0.047
Iteration:   18400, Train reward: -109.205, Eval reward: -124.853, TD loss: 130.517, Epsiode:   29, Epsilon:   0.047
Iteration:   18500, Train reward: -117.096, Eval reward: -111.347, TD loss: 138.643, Epsiode:   29, Epsilon:   0.047
Iteration:   18600, Train reward: -115.983, Eval reward: -145.977, TD loss: 129.937, Epsiode:   29, Epsilon:   0.047
Iteration:   18700, Train reward:  -97.407, Eval reward: -114.392, TD loss: 128.206, Epsiode:   29, Epsilon:   0.047
Iteration:   18800, Train reward: -114.164, Eval reward: -139.127, TD loss: 125.926, Epsiode:   30, Epsilon:   0.042
Iteration:   18900, Train reward:   -95.72, Eval reward: -129.698, TD loss: 140.415, Epsiode:   30, Epsilon:   0.042
Iteration:   19000, Train reward: -102.673, Eval reward:  -52.029, TD loss: 137.975, Epsiode:   30, Epsilon:   0.042
Iteration:   19100, Train reward: -111.356, Eval reward:  -60.594, TD loss: 136.083, Epsiode:   30, Epsilon:   0.042
Iteration:   19200, Train reward: -113.407, Eval reward:  -59.448, TD loss: 113.569, Epsiode:   30, Epsilon:   0.042
Iteration:   19300, Train reward: -113.065, Eval reward:  -70.854, TD loss: 124.205, Epsiode:   30, Epsilon:   0.042
Iteration:   19400, Train reward: -102.771, Eval reward:  -52.953, TD loss: 139.184, Epsiode:   30, Epsilon:   0.042
Iteration:   19500, Train reward: -125.142, Eval reward:  -81.191, TD loss: 119.435, Epsiode:   30, Epsilon:   0.042
Iteration:   19600, Train reward:  -92.611, Eval reward:  -67.774, TD loss:   116.3, Epsiode:   30, Epsilon:   0.042
Iteration:   19700, Train reward: -105.036, Eval reward:  -63.257, TD loss: 147.256, Epsiode:   30, Epsilon:   0.042
Iteration:   19800, Train reward: -124.686, Eval reward:  -66.749, TD loss: 153.436, Epsiode:   31, Epsilon:   0.038
Iteration:   19900, Train reward: -122.021, Eval reward:  -51.451, TD loss: 135.001, Epsiode:   31, Epsilon:   0.038
Iteration:   20000, Train reward: -124.979, Eval reward: -125.809, TD loss: 136.535, Epsiode:   31, Epsilon:   0.038
Iteration:   20100, Train reward: -126.139, Eval reward: -135.497, TD loss: 115.025, Epsiode:   31, Epsilon:   0.038
Iteration:   20200, Train reward: -101.716, Eval reward: -136.625, TD loss:  134.54, Epsiode:   31, Epsilon:   0.038
Iteration:   20300, Train reward: -116.901, Eval reward: -147.778, TD loss: 130.169, Epsiode:   31, Epsilon:   0.038
Iteration:   20400, Train reward: -108.499, Eval reward: -131.624, TD loss: 137.537, Epsiode:   31, Epsilon:   0.038
Iteration:   20500, Train reward: -103.812, Eval reward: -141.689, TD loss: 135.211, Epsiode:   31, Epsilon:   0.038
Iteration:   20600, Train reward: -111.052, Eval reward: -149.117, TD loss: 129.319, Epsiode:   31, Epsilon:   0.038
Iteration:   20700, Train reward:  -122.98, Eval reward: -142.226, TD loss: 119.752, Epsiode:   31, Epsilon:   0.038
Iteration:   20800, Train reward: -128.649, Eval reward: -161.397, TD loss: 120.808, Epsiode:   32, Epsilon:   0.034
Iteration:   20900, Train reward: -108.945, Eval reward: -141.041, TD loss: 126.267, Epsiode:   32, Epsilon:   0.034
Iteration:   21000, Train reward: -103.616, Eval reward: -217.434, TD loss: 113.225, Epsiode:   32, Epsilon:   0.034
Iteration:   21100, Train reward: -114.472, Eval reward: -194.952, TD loss:  98.232, Epsiode:   32, Epsilon:   0.034
Iteration:   21200, Train reward:  -134.28, Eval reward:   -216.4, TD loss:  119.17, Epsiode:   32, Epsilon:   0.034
Iteration:   21300, Train reward: -136.193, Eval reward: -223.967, TD loss: 110.432, Epsiode:   32, Epsilon:   0.034
Iteration:   21400, Train reward: -113.076, Eval reward: -212.465, TD loss:  103.23, Epsiode:   32, Epsilon:   0.034
Iteration:   21500, Train reward: -108.884, Eval reward: -207.915, TD loss: 103.572, Epsiode:   32, Epsilon:   0.034
Iteration:   21600, Train reward: -114.498, Eval reward: -216.187, TD loss: 130.128, Epsiode:   32, Epsilon:   0.034
Iteration:   21700, Train reward:  -116.66, Eval reward:  -210.15, TD loss: 114.122, Epsiode:   32, Epsilon:   0.034
Iteration:   21800, Train reward: -118.476, Eval reward: -212.229, TD loss: 126.928, Epsiode:   33, Epsilon:   0.031
Iteration:   21900, Train reward: -117.185, Eval reward: -199.776, TD loss: 136.868, Epsiode:   33, Epsilon:   0.031
Iteration:   22000, Train reward: -119.711, Eval reward: -149.779, TD loss: 141.489, Epsiode:   33, Epsilon:   0.031
Iteration:   22100, Train reward: -128.979, Eval reward: -123.758, TD loss: 120.369, Epsiode:   33, Epsilon:   0.031
